urim	urim_datetime	tweet_datetime	tweet_delta	tweet_delta_insec	bio_datetime	bio_delta	bio_delta_insec	media_datetime	media_delta	media_delta_insec	ymlike_datetime	ymlike_delta	ymlike_delta_insec	whappen_datetime	whappen_delta	whappen_delta_insec
https://web.archive.org/web/20200626104941/https://twitter.com/realDonaldTrump?lang=cs	20200626104941	20200624044031	-3 days, 17:50:50	-194950	20200624044031	-3 days, 17:50:50	-194950	20200624044031	-3 days, 17:50:50	-194950	20200624044032	-3 days, 17:50:51	-194949	20200624044032	-3 days, 17:50:51	-194949
https://web.archive.org/web/20200626104737/https://twitter.com/realDonaldTrump?lang=gu	20200626104737	20200624044031	-3 days, 17:52:54	-194826	20200624044031	-3 days, 17:52:54	-194826	20200624044031	-3 days, 17:52:54	-194826	20200624044032	-3 days, 17:52:55	-194825	20200624044032	-3 days, 17:52:55	-194825
https://web.archive.org/web/20200626104548/https://twitter.com/realDonaldTrump?lang=it	20200626104548	20200624044031	-3 days, 17:54:43	-194717	20200624044031	-3 days, 17:54:43	-194717	20200624044031	-3 days, 17:54:43	-194717	20200624044032	-3 days, 17:54:44	-194716	20200624044032	-3 days, 17:54:44	-194716
https://web.archive.org/web/20200626104254/https://twitter.com/realDonaldTrump?lang=sv	20200626104254	20200624044031	-3 days, 17:57:37	-194543	20200624044031	-3 days, 17:57:37	-194543	20200624044031	-3 days, 17:57:37	-194543	20200624044032	-3 days, 17:57:38	-194542	20200624044032	-3 days, 17:57:38	-194542
https://web.archive.org/web/20200626103934/https://twitter.com/realDonaldTrump?lang=tr	20200626103934	20200624044031	-3 days, 18:00:57	-194343	20200624044031	-3 days, 18:00:57	-194343	20200624044031	-3 days, 18:00:57	-194343	20200624044032	-3 days, 18:00:58	-194342	20200624044032	-3 days, 18:00:58	-194342
https://web.archive.org/web/20200626103605/https://twitter.com/realDonaldTrump?lang=bg	20200626103605	20200624044031	-3 days, 18:04:26	-194134	20200624044031	-3 days, 18:04:26	-194134	20200624044031	-3 days, 18:04:26	-194134	20200624044032	-3 days, 18:04:27	-194133	20200624044032	-3 days, 18:04:27	-194133
https://web.archive.org/web/20200626103446/https://twitter.com/realDonaldTrump?lang=ro	20200626103446	20200624044031	-3 days, 18:05:45	-194055	20200624044031	-3 days, 18:05:45	-194055	20200624044031	-3 days, 18:05:45	-194055	20200624044032	-3 days, 18:05:46	-194054	20200624044032	-3 days, 18:05:46	-194054
https://web.archive.org/web/20200701234121/https://twitter.com/realdonaldtrump	20200701234121	20200629174731	-3 days, 18:06:10	-194030	20200629174731	-3 days, 18:06:10	-194030	20200629174732	-3 days, 18:06:11	-194029	20200629174732	-3 days, 18:06:11	-194029	20200629174732	-3 days, 18:06:11	-194029
https://web.archive.org/web/20200504100528/https://twitter.com/realDonaldTrump?lang=de	20200504100528	20200502043820	-3 days, 18:32:52	-192428	20200502043820	-3 days, 18:32:52	-192428	20200502043820	-3 days, 18:32:52	-192428	20200502043821	-3 days, 18:32:53	-192427	20200502043822	-3 days, 18:32:54	-192426
https://web.archive.org/web/20200922015001/https://twitter.com/realDonaldTrump?lang=pl	20200922015001	20200919204148	-3 days, 18:51:47	-191293	20200919204148	-3 days, 18:51:47	-191293	20200919204148	-3 days, 18:51:47	-191293	20200919204148	-3 days, 18:51:47	-191293	20200919204148	-3 days, 18:51:47	-191293
https://web.archive.org/web/20200701223527/https://twitter.com/realdonaldtrump	20200701223527	20200629174731	-3 days, 19:12:04	-190076	20200629174731	-3 days, 19:12:04	-190076	20200629174732	-3 days, 19:12:05	-190075	20200629174732	-3 days, 19:12:05	-190075	20200629174732	-3 days, 19:12:05	-190075
https://web.archive.org/web/20200701223516/https://twitter.com/realdonaldtrump	20200701223516	20200629174731	-3 days, 19:12:15	-190065	20200629174731	-3 days, 19:12:15	-190065	20200629174732	-3 days, 19:12:16	-190064	20200629174732	-3 days, 19:12:16	-190064	20200629174732	-3 days, 19:12:16	-190064
https://web.archive.org/web/20200701221209/https://twitter.com/realdonaldtrump	20200701221209	20200629174731	-3 days, 19:35:22	-188678	20200629174731	-3 days, 19:35:22	-188678	20200629174732	-3 days, 19:35:23	-188677	20200629174732	-3 days, 19:35:23	-188677	20200629174732	-3 days, 19:35:23	-188677
https://web.archive.org/web/20200701215801/https://twitter.com/realdonaldtrump	20200701215801	20200629174731	-3 days, 19:49:30	-187830	20200629174731	-3 days, 19:49:30	-187830	20200629174732	-3 days, 19:49:31	-187829	20200629174732	-3 days, 19:49:31	-187829	20200629174732	-3 days, 19:49:31	-187829
https://web.archive.org/web/20200504084521/https://twitter.com/realDonaldTrump?lang=ro	20200504084521	20200502043820	-3 days, 19:52:59	-187621	20200502043820	-3 days, 19:52:59	-187621	20200502043820	-3 days, 19:52:59	-187621	20200502043821	-3 days, 19:53:00	-187620	20200502043822	-3 days, 19:53:01	-187619
https://web.archive.org/web/20200504083629/https://twitter.com/realDonaldTrump?lang=ta	20200504083629	20200502043820	-3 days, 20:01:51	-187089	20200502043820	-3 days, 20:01:51	-187089	20200502043820	-3 days, 20:01:51	-187089	20200502043821	-3 days, 20:01:52	-187088	20200502043822	-3 days, 20:01:53	-187087
https://web.archive.org/web/20200701214447/https://twitter.com/realdonaldtrump	20200701214447	20200629174731	-3 days, 20:02:44	-187036	20200629174731	-3 days, 20:02:44	-187036	20200629174732	-3 days, 20:02:45	-187035	20200629174732	-3 days, 20:02:45	-187035	20200629174732	-3 days, 20:02:45	-187035
https://web.archive.org/web/20200504083021/https://twitter.com/realDonaldTrump?lang=fa	20200504083021	20200502043820	-3 days, 20:07:59	-186721	20200502043820	-3 days, 20:07:59	-186721	20200502043820	-3 days, 20:07:59	-186721	20200502043821	-3 days, 20:08:00	-186720	20200502043822	-3 days, 20:08:01	-186719
https://web.archive.org/web/20200521025010/https://twitter.com/realDonaldTrump?lang=tr	20200521025010	20200519012531	-3 days, 22:35:21	-177879	20200522112301	1 day, 8:32:51	117171	20200519012533	-3 days, 22:35:23	-177877	20200522112303	1 day, 8:32:53	117173	20200519012535	-3 days, 22:35:25	-177875
https://web.archive.org/web/20200521024353/https://twitter.com/realDonaldTrump?lang=vi	20200521024353	20200519012531	-3 days, 22:41:38	-177502	20200522112301	1 day, 8:39:08	117548	20200519012533	-3 days, 22:41:40	-177500	20200522112303	1 day, 8:39:10	117550	20200519012535	-3 days, 22:41:42	-177498
https://web.archive.org/web/20200626054843/https://twitter.com/realDonaldTrump	20200626054843	20200624044031	-3 days, 22:51:48	-176892	20200624044031	-3 days, 22:51:48	-176892	20200624044031	-3 days, 22:51:48	-176892	20200624044032	-3 days, 22:51:49	-176891	20200624044032	-3 days, 22:51:49	-176891
https://web.archive.org/web/20200521013443/https://twitter.com/realDonaldTrump?lang=it	20200521013443	20200519012531	-3 days, 23:50:48	-173352	20200522112301	1 day, 9:48:18	121698	20200519012533	-3 days, 23:50:50	-173350	20200522112303	1 day, 9:48:20	121700	20200519012535	-3 days, 23:50:52	-173348
https://web.archive.org/web/20200521012825/https://twitter.com/realDonaldTrump?lang=es	20200521012825	20200519012531	-3 days, 23:57:06	-172974	20200522112301	1 day, 9:54:36	122076	20200519012533	-3 days, 23:57:08	-172972	20200522112303	1 day, 9:54:38	122078	20200519012535	-3 days, 23:57:10	-172970
https://web.archive.org/web/20200521012458/https://twitter.com/realDonaldTrump?lang=bn	20200521012458	20200519012531	-2 days, 0:00:33	-172767	20200522112301	1 day, 9:58:03	122283	20200519012533	-2 days, 0:00:35	-172765	20200522112303	1 day, 9:58:05	122285	20200519012535	-2 days, 0:00:37	-172763
https://web.archive.org/web/20200521010422/https://twitter.com/realDonaldTrump?lang=gu	20200521010422	20200519012531	-2 days, 0:21:09	-171531	20200522112301	1 day, 10:18:39	123519	20200519012533	-2 days, 0:21:11	-171529	20200522112303	1 day, 10:18:41	123521	20200519012535	-2 days, 0:21:13	-171527
https://web.archive.org/web/20200521010005/https://twitter.com/realDonaldTrump?lang=ca	20200521010005	20200519012531	-2 days, 0:25:26	-171274	20200522112301	1 day, 10:22:56	123776	20200519012533	-2 days, 0:25:28	-171272	20200522112303	1 day, 10:22:58	123778	20200519012535	-2 days, 0:25:30	-171270
https://web.archive.org/web/20200521005317/https://twitter.com/realDonaldTrump?lang=fi	20200521005317	20200519012531	-2 days, 0:32:14	-170866	20200522112301	1 day, 10:29:44	124184	20200519012533	-2 days, 0:32:16	-170864	20200522112303	1 day, 10:29:46	124186	20200519012535	-2 days, 0:32:18	-170862
https://web.archive.org/web/20200701171335/https://twitter.com/realDonaldTrump?lang=fi	20200701171335	20200629174731	-2 days, 0:33:56	-170764	20200629174731	-2 days, 0:33:56	-170764	20200629174732	-2 days, 0:33:57	-170763	20200629174732	-2 days, 0:33:57	-170763	20200629174732	-2 days, 0:33:57	-170763
https://web.archive.org/web/20200701164826/https://twitter.com/realDonaldTrump	20200701164826	20200629174731	-2 days, 0:59:05	-169255	20200629174731	-2 days, 0:59:05	-169255	20200629174732	-2 days, 0:59:06	-169254	20200629174732	-2 days, 0:59:06	-169254	20200629174732	-2 days, 0:59:06	-169254
